Sample	Heading_date(days)|Hainan|2010	Plant_height(cm)|Hainan|2010	Peduncle_length(cm)|Hainan|2010	Panicle_length_per_main_stem(mm)|Hainan|2010	Bristle_length(mm)|Hainan|2010	Diameter_of_main_stem(cm)|Hainan|2010	Panicle_diameter(mm)|Hainan|2010	Stem_node_number|Hainan|2010	Tiller_number|Hainan|2010	Branch_number_per_plant|Hainan|2010	Number_of_total_panicles_per_plant|Hainan|2010	Leaf_sheath_color|Hainan|2010	Leaf_pulvinus_color|Hainan|2010	Bristle_color|Hainan|2010	Weight_per_panicle(g)|Hainan|2010	Grain_weight(g)|Hainan|2010	Panicle_shape|Hainan|2010
WGS0697	46	91.3	21.5	12.3	2	6.3	18.64	7	0	0	1	3	2	2	7.05	5.05	NA
WGS0698	45	94.3	24	14.7	1	6.47	17.18	8	0	0	1	4	3	3	6.84	5.03	NA
WGS0699	39	64.7	25.3	12	2	5.13	16.8	6	1	0	2	NA	3	3	4.57	3.21	NA
WGS0700	41	81	29.7	13.8	2	5.62	16.92	6	2	0	3	2	2	2	6.34	4.78	NA
WGS0701	56	109.7	20.3	17.8	1	7.55	21.34	9	1	0	2	2	2	2	13.94	9.65	NA
WGS0702	48	106.7	29.3	15	4	6.83	19.82	9	0	0	1	2	2	2	7.03	4.96	NA
WGS0703	39	70.3	24.3	14	3	4.87	15.8	5	1	0	2	5	3	3	3.3	1.88	NA
WGS0704	58	114	25	15.7	1	7.39	15.42	8	1	0	2	2	2	3	7.69	5.42	NA
WGS0705	51	98	20.7	17.8	1	6.13	18.48	9	2	0	3	2	2	3	5.46	3.36	NA
WGS0706	55	93.3	21	18.8	2	7.91	24.7	10	0	0	1	2	2	2	11.58	8.43	NA
WGS0707	42	73.3	23.7	10.5	1	5.5	17.8	6	1	0	2	4	3	3	5.85	4.34	NA
WGS0708	47	77	29	10.7	2	4.9	18.28	6	0	0	1	2	2	2	4.48	2.73	NA
WGS0709	40	65	25	11.7	2	4.26	14.94	5	1	0	2	4	3	3	4.41	3.12	NA
WGS0710	44	82	24.7	19	3	5.57	18.04	7	1	0	2	2	2	3	8.77	6.55	NA
WGS0711	39	72	28.3	15.7	2	5.12	16.92	5	0	0	1	4	3	3	4.38	1.75	NA
WGS0712	37	76	25	12.7	3	4.64	14.64	5	1	0	2	4	3	3	3.42	1.8	NA
WGS0713	47	97.3	33.7	13.8	4	6.18	26.58	7	0	0	1	2	2	3	9.41	5.81	NA
WGS0714	51	104	20.7	16	4	6.7	22.1	9	1	0	2	2	2	3	9.11	3.91	NA
WGS0715	48	103.3	28	16.2	3	6	12.66	9	0	0	1	2	2	3	8.53	6.02	NA
WGS0716	51	102.3	26	16.7	1	7.56	23.38	9	0	0	1	2	2	2	11.93	8.16	NA
WGS0717	35	71	29.3	12.7	2	4.76	17.56	5	1	0	2	2	2	2	3.91	2.65	NA
WGS0718	47	100	23.5	16.8	1	6.45	19.6	9	0	0	1	2	2	3	10.99	8.07	NA
WGS0719	29	55.3	25.2	9	1	5.49	12.58	4	1	1	3	2	2	3	0.78	0.13	NA
WGS0720	42	76.3	26.7	15.7	4	5.98	19.52	6	0	0	1	2	2	3	7.82	5.71	NA
WGS0721	35	62	25	11	2	4.36	16.98	5	0	1	2	3	3	3	3.72	1.67	NA
WGS0722	43	73.3	25.7	16.3	3	6.24	16.2	7	0	0	1	2	2	3	5.25	3.64	NA
WGS0723	41	72	25	11.3	1	6.22	14.06	7	0	0	1	2	2	3	3.25	1.59	NA
WGS0724	31	52.7	24.7	7.3	1	3.92	12.3	4	1	0	2	4	3	3	0.76	0.17	NA
WGS0725	36	72	26.3	12.7	2	4.61	14.74	6	0	0	1	2	2	3	2.47	0.62	NA
WGS0726	34	72	23	11.2	1	4.88	18.12	6	0	0	1	2	2	3	2.63	0.94	NA
WGS0727	35	64.8	24	10.7	2	3.3	13.04	6	0	0	1	2	2	3	2.85	1.87	NA
WGS0728	36	69.3	24	12	4	4.19	16.04	6	0	0	1	2	2	3	2.74	1.24	NA
WGS0729	36	73	31.3	14	1	4.63	16.68	5	0	0	1	2	3	2	4.04	2.49	NA
WGS0730	36	58.3	27.7	7.3	1	3.94	14.44	4	0	0	1	2	2	3	2.87	1.97	NA
WGS0731	35	72	26.3	10	1	4.16	16.68	5	0	0	1	3	2	2	5.24	3.41	NA
WGS0732	37	70.3	19.7	12.7	2	4.46	12.36	6	0	0	1	3	2	3	0.91	0.28	NA
WGS0733	31	60.3	31.3	8.3	1	3.76	15.7	4	0	1	2	3	2	2	2.28	1.34	NA
WGS0734	35	54.7	24.3	10.5	1	3.28	12.68	4	1	2	4	3	2	3	1.78	0.48	NA
WGS0735	35	64.7	30.7	9.3	1	3.95	16.88	5	0	0	1	3	3	2	2.99	0.98	NA
WGS0736	36	70	27.3	11	1	3.65	14.96	5	0	0	1	4	3	3	3.34	2.56	NA
WGS0737	36	70	27.3	9.5	1	4.04	17.76	5	0	0	1	4	3	3	2.43	1.58	NA
WGS0738	37	71	25.3	14.7	3	4.8	14.78	6	0	0	1	4	3	3	2.13	1.22	NA
WGS0739	36	66.7	26.3	13	2	3.92	6.28	5	0	0	1	4	3	3	1.57	0.8	NA
WGS0740	41	80.7	22.7	18.2	5	6.17	15.96	7	0	0	1	2	2	3	6.33	4.06	NA
WGS0741	41	76	27.3	16.8	5	5.42	17.74	6	0	0	1	2	2	3	7.19	3.68	NA
WGS0742	34	66	28.7	10	1	4.42	10.96	5	0	0	1	2	2	2	2.71	1.43	NA
WGS0743	35	55.3	25.3	8.7	2	4.33	13.68	5	2	2	4	4	3	3	2.94	2.19	NA
WGS0744	39	66.3	28.3	11.5	1	5.09	16.14	6	0	0	1	2	2	3	5.46	4.21	NA
